oferta_id,url,titulo,descripcion,empresa,ubicacion,fecha_publicacion,texto_tarjeta_crudo,primera_linea,pagina,fecha_publicacion2,gran_grupo_pred,sim_gran_grupo,codigo_ciuo_pred,sim_codigo_ciuo,puesto_ref_mas_similar,fuente_ref,metodo,correccion_manual,macro_v1,subcategoria_v1,macro_v2,subcategoria_v2,macro_v3,subcategoria_v3,habilidades_identificadas
2026-087545,https://www.bne.gob.cl/oferta/2026-087545,Operador de equipos,"Ejecutar las labores de operación de grúa (horquilla/portacontenedor/pluma/sidelifter) o camión para movimientos de traslados internos o externos de unidades, manteniendo el orden...",Confidencial,Los Lagos - Puerto Montt,Hace 11 días,"Hace 11 días
Operador de equipos
Ejecutar las labores de operación de grúa (horquilla/portacontenedor/pluma/sidelifter) o camión para movimientos de traslados internos o externos de unidades, manteniendo el orden...
Confidencial
Los Lagos - Puerto Montt
Ver Más",Hace 11 días,199,2026-07-31,7,0.588,7223,0.796,Operador/a de maquinaria y equipos,ENADEL 2025 (C1/C3),titulo,False,Competencias socioemocionales,Competencias de la personalidad,,,,,orden
2026-087638,https://www.bne.gob.cl/oferta/2026-087638,Ayudante Bodega - Puerto Natales,"Somos una Empresa nacida en el sur de nuestro país, líder en el rubro del salmón en Chile y buscamos a personas con ganas de crecer, desarrollarse y así potenciar sus talen...",AQUACHILE - PROCESADORA MAR DEL SUR,Magallanes y Antártica Chilena - Natales,Hace 11 días,"Hace 11 días
Ayudante Bodega - Puerto Natales
Somos una Empresa nacida en el sur de nuestro país, líder en el rubro del salmón en Chile y buscamos a personas con ganas de crecer, desarrollarse y así potenciar sus talen...
AQUACHILE - PROCESADORA MAR DEL SUR
Magallanes y Antártica Chilena - Natales
Ver Más",Hace 11 días,199,2026-07-31,9,0.542,9329,0.674,Ayudante de bodega,ENADEL 2025 (C1/C3),titulo,False,Competencias cognitivas,Competencias de gestión de proyectos y procesos,,,,,bodega
2026-087772,https://www.bne.gob.cl/oferta/2026-087772,AYUDANTE DE MAESTRO PENALOLEN,"Los trabajadores deben tener con conocimientos básicos en construcción (tabiquería, cerámica, gasfitería, pintura, techos, etc.), debe poseer LICENCIA DE CONDUCIR CL...",Pronto hogar,Metropolitana - Santiago,Hace 11 días,"Hace 11 días
AYUDANTE DE MAESTRO PENALOLEN
Los trabajadores deben tener con conocimientos básicos en construcción (tabiquería, cerámica, gasfitería, pintura, techos, etc.), debe poseer LICENCIA DE CONDUCIR CL...
Pronto hogar
Metropolitana - Santiago
Ver Más",Hace 11 días,199,2026-07-31,9,0.69,9329,0.479,Ayudante de maestranza,ENADEL 2025 (C1/C3),titulo,False,Competencias manuales,Destrezas de coordinación óculo-manual y óculo-podal,,,,,"conducir, gasfiter, gasfiteria, licencia de conducir"
2026-087827,https://www.bne.gob.cl/oferta/2026-087827,Ayudante Técnico (Antofagasta),Empresa del rubro de alimentos se encuentra en búsqueda de Ayudante Técnico para integrarse a su equipo en Antofagasta. La posición tendrá como objetivo brindar apoyo opera...,Confidencial,Antofagasta - Antofagasta,Hace 11 días,"Hace 11 días
Ayudante Técnico (Antofagasta)
Empresa del rubro de alimentos se encuentra en búsqueda de Ayudante Técnico para integrarse a su equipo en Antofagasta. La posición tendrá como objetivo brindar apoyo opera...
Confidencial
Antofagasta - Antofagasta
Ver Más",Hace 11 días,199,2026-07-31,9,0.517,9611,0.691,Ayudante técnico/a,ENADEL 2025 (C1/C3),titulo,False,,,,,,,
2026-087840,https://www.bne.gob.cl/oferta/2026-087840,"Jefe de Servicio - Coseche, Curicó",¿Qué buscamos? Jefe Técnico de Servicio es responsable de la calidad de los trabajos efectuados por los ...,Coseche SPA,Maule - Curicó,Hace 11 días,"Hace 11 días
Jefe de Servicio - Coseche, Curicó
¿Qué buscamos? Jefe Técnico de Servicio es responsable de la calidad de los trabajos efectuados por los ...
Coseche SPA
Maule - Curicó
Ver Más",Hace 11 días,199,2026-07-31,6,0.384,6111,0.615,Jefe/a de Cosechero/a,ENADEL 2025 (C1/C3),titulo,False,,,,,,,
2026-087859,https://www.bne.gob.cl/oferta/2026-087859,Ayudante de Construcción,"Dependencia Reporta directamente al Capataz, Supervisor o Jefe de Terreno. Objetivo del cargo Brindar apoyo operativo en la ejecución de actividades de construcción, colaborando con...",TECHINT Ingeniería y Construcción,Antofagasta - Antofagasta,Hace 11 días,"Hace 11 días
Ayudante de Construcción
Dependencia Reporta directamente al Capataz, Supervisor o Jefe de Terreno. Objetivo del cargo Brindar apoyo operativo en la ejecución de actividades de construcción, colaborando con...
TECHINT Ingeniería y Construcción
Antofagasta - Antofagasta
Ver Más",Hace 11 días,199,2026-07-31,9,0.466,9313,0.784,Ayudante de la construcción de edificios,INE (manual CIUO-08.CL),titulo,False,,,,,,,
2026-087865,https://www.bne.gob.cl/oferta/2026-087865,Vendedor/a Sodimac HC Maipú Jornada FT42 hrs,"Misión del cargo: Vendedor/a Sodimac HC Maipú Jornada FT42 hrs ¿Te gustaría aprender con los mejores y desarrollar todo tu potencial? Entonces, ¡esta oportunidad es ...",SODIMAC S.A.,Metropolitana - Maipú,Hace 11 días,"Hace 11 días
Vendedor/a Sodimac HC Maipú Jornada FT42 hrs
Misión del cargo: Vendedor/a Sodimac HC Maipú Jornada FT42 hrs ¿Te gustaría aprender con los mejores y desarrollar todo tu potencial? Entonces, ¡esta oportunidad es ...
SODIMAC S.A.
Metropolitana - Maipú
Ver Más",Hace 11 días,199,2026-07-31,5,0.689,5223,0.319,Vendedor/a,ENADEL 2025 (C1/C3),titulo,True,Competencias socioemocionales,Competencias de atención al cliente,,,,,vendedor
2026-087822,https://www.bne.gob.cl/oferta/2026-087822,TENS - RedSalud Providencia,En RedSalud CChC nos comprometemos con el desarrollo de una cultura de trabajo inclusivo promoviendo la diversidad como facilitador clave para el logro de nuestro propósito: Entregar una atenci...,Clinica RedSalud Providencia,Metropolitana - Providencia,Hace 11 días,"Hace 11 días
TENS - RedSalud Providencia
En RedSalud CChC nos comprometemos con el desarrollo de una cultura de trabajo inclusivo promoviendo la diversidad como facilitador clave para el logro de nuestro propósito: Entregar una atenci...
Clinica RedSalud Providencia
Metropolitana - Providencia
Ver Más",Hace 11 días,199,2026-07-31,3,0.404,3221,0.396,Tens,ENADEL 2025 (C1/C3),titulo,False,,,,,,,
2026-087480,https://www.bne.gob.cl/oferta/2026-087480,Jefe de cuadrilla eléctrica SEC A / Rancagua,"Almar Water Servicios Latam es una empresa con presencia nacional e internacional que se dedica a proveer soluciones integrales en la gestión sustentable del agua, asegurando altos están...",Almar Water Servicios LATAM,O'Higgins - Rancagua,Hace 11 días,"Hace 11 días
Jefe de cuadrilla eléctrica SEC A / Rancagua
Almar Water Servicios Latam es una empresa con presencia nacional e internacional que se dedica a proveer soluciones integrales en la gestión sustentable del agua, asegurando altos están...
Almar Water Servicios LATAM
O'Higgins - Rancagua
Ver Más",Hace 11 días,199,2026-07-31,3,0.362,3139,0.488,Jefe cuadrilla de planta pesquera,ENADEL 2025 (C1/C3),titulo,False,,,,,,,
2026-087606,https://www.bne.gob.cl/oferta/2026-087606,Control Producción,"Administrar, controlar, y programar los distintos requerimientos del cliente, llevando un control del inventario de cada cliente y de cada producto almacenado, efectuando los cierres de cada cliente e...",Confidencial,Los Lagos - Puerto Montt,Hace 11 días,"Hace 11 días
Control Producción
Administrar, controlar, y programar los distintos requerimientos del cliente, llevando un control del inventario de cada cliente y de cada producto almacenado, efectuando los cierres de cada cliente e...
Confidencial
Los Lagos - Puerto Montt
Ver Más",Hace 11 días,200,2026-07-31,3,0.486,3135,0.702,Operador de central de control de producción de metales (sala de control),INE (manual CIUO-08.CL),titulo,False,Competencias cognitivas,Competencias de gestión de proyectos y procesos,,,,,inventario
2026-087564,https://www.bne.gob.cl/oferta/2026-087564,Ejecutivo de monitoreo,"En ADT Security Services, nos encontramos en la búsqueda de Agentes de Monitoreo de alarmas para su central ubicada en Providencia, Santiago. La principal función es atender las se&ntild...",ADT security services,Metropolitana - Providencia,Hace 11 días,"Hace 11 días
Ejecutivo de monitoreo
En ADT Security Services, nos encontramos en la búsqueda de Agentes de Monitoreo de alarmas para su central ubicada en Providencia, Santiago. La principal función es atender las se&ntild...
ADT security services
Metropolitana - Providencia
Ver Más",Hace 11 días,200,2026-07-31,3,0.67,3322,0.56,Ejecutivo/a de ventas,ENADEL 2025 (C1/C3),titulo,False,,,,,,,
2026-087582,https://www.bne.gob.cl/oferta/2026-087582,Operario de bodega/Pudahuel/$595.000 pesos + colación y buses - Lunes a viernes AM y PM (Rotativo),"¡Es tu momento de Brillar! En Manpower creemos en tu talento y queremos cambiar tu vida a través de un trabajo de calidad. Por eso, tenemos para ti las mejores oportunidades laborales que...",Manpower Empresas de Servicios Transitorios Limitada,Metropolitana - Pudahuel,Hace 11 días,"Hace 11 días
Operario de bodega/Pudahuel/$595.000 pesos + colación y buses - Lunes a viernes AM y PM (Rotativo)
¡Es tu momento de Brillar! En Manpower creemos en tu talento y queremos cambiar tu vida a través de un trabajo de calidad. Por eso, tenemos para ti las mejores oportunidades laborales que...
Manpower Empresas de Servicios Transitorios Limitada
Metropolitana - Pudahuel
Ver Más",Hace 11 días,200,2026-07-31,4,0.408,4321,0.342,Operario de bodega,ENADEL 2025 (C1/C3),titulo,False,Competencias cognitivas,Competencias de gestión de proyectos y procesos,,,,,bodega
2026-087632,https://www.bne.gob.cl/oferta/2026-087632,Vendedor/a Full Time Parfois Alto Las Condes,Misión del cargo: Brindar una excelente experiencia de compra y aportar al logro de las metas de venta. ¡Queremos invitarte a ser parte de la gran familia Forus en todas nuestras tiendas...,FORUS SA,Metropolitana - Las Condes,Hace 11 días,"Hace 11 días
Vendedor/a Full Time Parfois Alto Las Condes
Misión del cargo: Brindar una excelente experiencia de compra y aportar al logro de las metas de venta. ¡Queremos invitarte a ser parte de la gran familia Forus en todas nuestras tiendas...
FORUS SA
Metropolitana - Las Condes
Ver Más",Hace 11 días,200,2026-07-31,5,0.925,5223,0.377,Vendedor/a,ENADEL 2025 (C1/C3),titulo,True,Competencias socioemocionales,Competencias de atención al cliente,Competencias cognitivas,Competencias informáticas generales,,,"compra, excel, vendedor, venta"
2026-087720,https://www.bne.gob.cl/oferta/2026-087720,Práctica Profesional ? Área de Medio Ambiente,"**Práctica Profesional ? Área de Medio Ambiente | Puente Alto** Empresa de transporte público busca estudiante de Ingeniería, Técnico en Medio Ambiente o carrera ...",Confidencial,Metropolitana - Puente Alto,Hace 11 días,"Hace 11 días
Práctica Profesional ? Área de Medio Ambiente
**Práctica Profesional ? Área de Medio Ambiente | Puente Alto** Empresa de transporte público busca estudiante de Ingeniería, Técnico en Medio Ambiente o carrera ...
Confidencial
Metropolitana - Puente Alto
Ver Más",Hace 11 días,200,2026-07-31,2,0.822,2133,0.535,Profesionales de la protección medioambiental,ENADEL 2024 (C1),titulo,False,,,,,,,
2026-087726,https://www.bne.gob.cl/oferta/2026-087726,Pricing,"Analizar, definir y controlar las tarifas y estructuras de precios y costos de los servicios logísticos, de transporte y de operación de terminal, asegurando la rentabilidad del negocio,...",Confidencial,Metropolitana - Santiago,Hace 11 días,"Hace 11 días
Pricing
Analizar, definir y controlar las tarifas y estructuras de precios y costos de los servicios logísticos, de transporte y de operación de terminal, asegurando la rentabilidad del negocio,...
Confidencial
Metropolitana - Santiago
Ver Más",Hace 11 días,200,2026-07-31,4,0.648,4323,0.392,Controlador/a de servicio de transporte,ENADEL 2025 (C1/C3),descripcion (respaldo),False,Competencias cognitivas,Competencias cognitivas básicas,Competencias cognitivas,Competencias financieras,,,"analizar, costos"
2026-087831,https://www.bne.gob.cl/oferta/2026-087831,Técnico C (Antofagasta),Empresa del rubro de alimentos se encuentra en búsqueda de un/a Técnico de Mantenimiento para integrarse a su equipo de servicio técnico. La posición tendrá como obj...,Confidencial,Antofagasta - Antofagasta,Hace 11 días,"Hace 11 días
Técnico C (Antofagasta)
Empresa del rubro de alimentos se encuentra en búsqueda de un/a Técnico de Mantenimiento para integrarse a su equipo de servicio técnico. La posición tendrá como obj...
Confidencial
Antofagasta - Antofagasta
Ver Más",Hace 11 días,200,2026-07-31,3,0.55,3512,0.363,Técnico/a de soporte técnico,ENADEL 2025 (C1/C3),titulo,False,Competencias manuales,Destrezas de coordinación óculo-manual y óculo-podal,,,,,mantenimiento
2026-087855,https://www.bne.gob.cl/oferta/2026-087855,Conductor A4,"Empresa requiere de conductores con licencia A4, cuyas funciones principales son las siguientes: Conducir los vehículos de la flota realizando entregas y retiros. Mantener en buen estado los ...",I. Municipalidad de Viña del Mar - OMIL de Viña de Mar,Valparaíso - Viña del Mar,Hace 11 días,"Hace 11 días
Conductor A4
Empresa requiere de conductores con licencia A4, cuyas funciones principales son las siguientes: Conducir los vehículos de la flota realizando entregas y retiros. Mantener en buen estado los ...
I. Municipalidad de Viña del Mar - OMIL de Viña de Mar
Valparaíso - Viña del Mar
Ver Más",Hace 11 días,200,2026-07-31,8,1.0,8322,0.754,Conductor,ENADEL 2025 (C1/C3),titulo,False,Competencias manuales,Destrezas de coordinación óculo-manual y óculo-podal,,,,,conducir
2026-087712,https://www.bne.gob.cl/oferta/2026-087712,Encargado de adquisiciones y contratistas,"Tiene por objetivo ejecutar y registrar las compras de insumos, productos, maquinarias y servicios de la empresa en todos sus terminales. También es responsable de asegurar que las empresas Con...",Confidencial,Metropolitana - Santiago,Hace 11 días,"Hace 11 días
Encargado de adquisiciones y contratistas
Tiene por objetivo ejecutar y registrar las compras de insumos, productos, maquinarias y servicios de la empresa en todos sus terminales. También es responsable de asegurar que las empresas Con...
Confidencial
Metropolitana - Santiago
Ver Más",Hace 11 días,200,2026-07-31,3,0.795,3323,0.829,Encargado de adquisiciones,ENADEL 2025 (C1/C3),titulo,False,Competencias socioemocionales,Competencias de atención al cliente,,,,,compra
2026-087559,https://www.bne.gob.cl/oferta/2026-087559,Jefe de Bodega y Control Operacional | Rubro Eléctrico,"Estamos buscamos un Jefe de Bodega y Control Operacional para liderar el orden, control y mejora de nuestra operación, asegurando una gestión eficiente de inventarios, trazabilidad de m...",Confidencial,Bío Bío - Concepción,Hace 11 días,"Hace 11 días
Jefe de Bodega y Control Operacional | Rubro Eléctrico
Estamos buscamos un Jefe de Bodega y Control Operacional para liderar el orden, control y mejora de nuestra operación, asegurando una gestión eficiente de inventarios, trazabilidad de m...
Confidencial
Bío Bío - Concepción
Ver Más",Hace 11 días,201,2026-07-31,4,0.353,4321,0.524,Jefe/a bodega,ENADEL 2025 (C1/C3),titulo,False,Competencias cognitivas,Competencias de gestión de proyectos y procesos,Competencias socioemocionales,Competencias de la personalidad,Competencias socioemocionales,Competencias de dirección de equipos,"bodega, inventario, liderar, orden"
2026-087585,https://www.bne.gob.cl/oferta/2026-087585,Administrativo de bodega,"Apoyar y controlar la correcta preparación y despacho de los pedidos que realizan los clientes de la compañía, asegurando un servicio óptimo y ágil, en términ...",Confidencial,Metropolitana - Santiago,Hace 11 días,"Hace 11 días
Administrativo de bodega
Apoyar y controlar la correcta preparación y despacho de los pedidos que realizan los clientes de la compañía, asegurando un servicio óptimo y ágil, en términ...
Confidencial
Metropolitana - Santiago
Ver Más",Hace 11 días,201,2026-07-31,4,0.663,4321,1.0,Administrativo de bodega,ENADEL 2025 (C1/C3),titulo,False,Competencias cognitivas,Competencias de gestión de proyectos y procesos,,,,,bodega
2026-087686,https://www.bne.gob.cl/oferta/2026-087686,guardias lider lo barnechea,&#128176; RENTA $650.000 LÍQUIDOS &#127873; Bono OS10 $50.000 + Bono Incorporación $20.000 + Turnos Extras $45.000 semanal &#128338; TURNOS 6x2 y 4x4 ROTATIVOS &#998...,WORLDWIDE FACILITY SECURITY S.A,Metropolitana - Lo Barnechea,Hace 11 días,"Hace 11 días
guardias lider lo barnechea
&#128176; RENTA $650.000 LÍQUIDOS &#127873; Bono OS10 $50.000 + Bono Incorporación $20.000 + Turnos Extras $45.000 semanal &#128338; TURNOS 6x2 y 4x4 ROTATIVOS &#998...
WORLDWIDE FACILITY SECURITY S.A
Metropolitana - Lo Barnechea
Ver Más",Hace 11 días,201,2026-07-31,5,0.752,5414,0.378,Guardias de seguridad,ENADEL 2025 (C1/C3),titulo,False,Competencias manuales,Destrezas de coordinación óculo-manual y óculo-podal,,,,,guardia
2026-087699,https://www.bne.gob.cl/oferta/2026-087699,Tecnico en mantencion,"Ejecutar las acciones de revisión, mantención y reparación de maquinaria , y equipos en terminal, de acuerdo con programación entregada, asegurando su óptima disponi...",Confidencial,Los Lagos - Puerto Montt,Hace 11 días,"Hace 11 días
Tecnico en mantencion
Ejecutar las acciones de revisión, mantención y reparación de maquinaria , y equipos en terminal, de acuerdo con programación entregada, asegurando su óptima disponi...
Confidencial
Los Lagos - Puerto Montt
Ver Más",Hace 11 días,201,2026-07-31,3,0.579,3115,0.645,Técnico/a en mantenimiento,ENADEL 2025 (C1/C3),titulo,False,Competencias manuales,Destrezas de coordinación óculo-manual y óculo-podal,Competencias cognitivas,Competencias en software (específico) y asistencia técnica,,,"mantencion, programacion, reparacion"
2026-087748,https://www.bne.gob.cl/oferta/2026-087748,Jefe unidad mantenimiento de Locomotoras - Antofagasta,"Para importante cliente del rubro ferroviario, buscamos un/a Jefe unidad mantenimiento de Locomotoras para la ciudad de Antofagasta. Principales funciones: Tendrá la responsabilidad d...",Manpower Servicios Integrales,Antofagasta - Antofagasta,Hace 11 días,"Hace 11 días
Jefe unidad mantenimiento de Locomotoras - Antofagasta
Para importante cliente del rubro ferroviario, buscamos un/a Jefe unidad mantenimiento de Locomotoras para la ciudad de Antofagasta. Principales funciones: Tendrá la responsabilidad d...
Manpower Servicios Integrales
Antofagasta - Antofagasta
Ver Más",Hace 11 días,201,2026-07-31,7,0.311,7233,0.438,Técnico/a de mantenimiento,ENADEL 2025 (C1/C3),titulo,False,Competencias socioemocionales,Competencias de la personalidad,Competencias manuales,Destrezas de coordinación óculo-manual y óculo-podal,,,"mantenimiento, responsabilidad"
2026-087749,https://www.bne.gob.cl/oferta/2026-087749,"Asistente de Asuntos Estudiantiles, Media Jornada Vespertina, Sede Puerto Montt","Santo Tomás, institución líder en Educación Superior en Chile, busca un(a) Asistente de Asuntos Estudiantiles, Media Jornada Vespertina, para su sede Puerto Montt. El cargo...",COORPORACION INSTITUTO PROFESIONAL SANTO TOMAS,Los Lagos - Puerto Montt,Hace 11 días,"Hace 11 días
Asistente de Asuntos Estudiantiles, Media Jornada Vespertina, Sede Puerto Montt
Santo Tomás, institución líder en Educación Superior en Chile, busca un(a) Asistente de Asuntos Estudiantiles, Media Jornada Vespertina, para su sede Puerto Montt. El cargo...
COORPORACION INSTITUTO PROFESIONAL SANTO TOMAS
Los Lagos - Puerto Montt
Ver Más",Hace 11 días,201,2026-07-31,1,0.366,1345,0.411,Jefe de carrera en instituciones de educación superior,INE (manual CIUO-08.CL),descripcion (respaldo),False,,,,,,,
